97	59	96	28	39
26	29	50	36	77
53	28	10	87	39
26	40	64	10	96
37	69	48	90	70
56	49	15	51	84
80	67	67	95	99
85	49	56	90	89
96	52	77	26	85
17	22	12	30	35
88	15	76	28	62
33	71	34	11	28
67	62	66	91	41
91	50	81	54	95
60	42	41	37	99
31	44	33	82	86
44	56	14	22	53
21	94	42	91	15
46	54	78	62	55
100	27	53	45	45
55	39	29	90	89
38	43	73	26	90
34	63	75	82	25
24	94	54	25	18
10	22	47	53	70
58	61	91	88	52
53	21	48	52	62
28	19	59	79	93
100	46	61	78	93
70	14	30	80	13
40	98	65	49	23
32	78	12	81	77
30	92	98	28	75
76	13	51	15	64
16	100	32	87	57
59	88	79	68	60
97	91	52	44	18
31	55	72	19	30
52	87	25	64	10
20	71	13	52	44
40	17	81	52	64
90	18	99	78	87
22	22	18	41	49
80	41	66	72	33
20	53	86	65	25
76	91	55	37	25
56	100	46	20	52
27	80	15	90	96
27	30	43	80	93
70	58	14	68	22
34	92	11	60	50
10	45	72	56	56
61	60	53	47	23
80	17	90	17	78
23	82	42	47	62
20	27	85	54	74
16	34	84	64	69
64	36	59	37	64
92	47	61	53	97
44	90	48	73	81
23	58	42	53	30
54	33	13	49	12
99	72	65	63	40
96	20	58	25	21
49	26	99	30	75
40	40	58	59	15
78	24	88	91	62
65	38	13	13	21
71	83	63	59	10
40	81	29	68	70
39	97	16	60	76
44	43	32	92	78
68	84	94	25	48
27	49	41	15	33
72	64	12	36	29
17	56	25	28	71
36	89	94	60	72
96	50	46	59	90
59	99	17	87	26
68	12	57	66	18
22	26	14	82	12
46	57	75	22	46
53	21	51	25	95
96	32	68	29	59
67	82	52	69	39
88	12	48	25	39
65	65	18	47	77
66	32	93	90	87
10	96	34	97	62
64	61	32	27	48
77	26	76	33	46
83	28	13	48	74
75	14	64	50	34
15	88	47	39	43
77	28	98	56	38
19	31	99	79	55
42	67	92	15	17
77	73	32	48	56
24	18	33	13	71
89	80	69	96	44
60	80	12	67	61
14	35	97	76	49
42	38	79	53	69
59	49	79	90	75
48	29	91	75	25
91	60	13	59	27
99	92	37	41	44
27	23	85	97	93
69	59	80	46	67
52	10	90	17	55
34	13	77	61	85
89	78	59	45	84
84	48	75	85	87
24	41	57	76	66
42	31	43	47	27
48	82	42	76	82
52	43	46	51	45
93	85	93	61	19
20	33	22	12	47
93	61	39	22	57
30	56	82	18	46
44	80	69	58	49
13	23	42	27	82
18	36	56	99	11
27	29	25	27	100
39	40	65	59	38
88	83	54	97	21
61	42	35	16	33
21	66	72	32	92
56	35	15	17	48
46	93	35	70	24
49	49	44	36	80
63	46	27	100	82
99	26	29	69	12
63	51	61	61	53
19	60	35	62	61
70	86	63	75	53
47	31	40	39	40
90	63	57	20	87
11	20	42	66	81
34	81	80	76	95
41	98	26	50	75
72	55	92	39	66
100	31	18	21	47
81	80	28	73	33
11	56	84	33	57
56	70	42	37	15
52	36	42	60	72
62	94	79	39	17
51	85	78	32	99
80	13	22	47	43
45	71	96	24	21
75	16	66	90	35
81	64	71	100	50
96	15	79	30	61
13	24	35	33	71
80	84	81	98	65
87	81	10	63	28
35	57	10	56	34
95	18	44	91	96
38	46	39	53	43
75	95	70	38	44
25	80	89	20	57
80	66	82	94	89
48	83	37	57	78
74	75	18	75	38
56	72	62	95	18
96	77	31	49	87
56	60	76	30	86
17	15	18	53	100
35	11	40	64	76
71	70	89	30	89
38	75	42	68	32
71	50	23	64	86
83	59	66	45	69
13	19	10	79	84
35	52	33	34	47
12	95	69	20	98
30	52	97	82	11
40	27	10	46	29
25	33	93	14	70
96	61	87	95	95
91	91	38	64	90
56	80	11	65	49
68	50	55	12	69
100	77	11	94	90
96	19	25	66	11
54	53	94	31	49
24	57	95	98	98
