91	120	32	94	109	2	71
75	102	64	9	59	12	118
60	39	38	120	105	90	99
76	120	114	33	97	49	28
116	15	1	98	115	56	19
119	118	83	45	15	13	83
63	10	115	27	89	29	65
86	46	106	69	118	11	57
94	62	80	8	93	36	49
23	105	87	20	39	113	64
106	26	29	30	1	57	7
111	98	50	53	49	23	98
98	1	76	46	12	98	100
89	66	108	19	50	32	95
42	7	85	68	87	100	9
118	115	41	120	81	100	78
106	18	13	118	73	102	39
3	110	106	34	116	6	91
112	71	74	63	86	10	37
97	8	11	90	75	30	69
22	111	102	74	82	104	49
84	56	27	1	115	52	56
99	43	97	44	120	56	48
3	106	109	74	52	101	81
82	9	69	27	107	33	2
5	19	44	107	7	83	48
94	4	104	45	14	7	81
40	105	43	85	42	110	86
24	108	30	91	5	30	62
26	20	15	116	22	69	101
57	51	115	22	116	47	112
35	54	109	83	60	109	67
24	91	61	111	84	111	10
10	50	76	115	1	119	25
8	83	33	64	24	91	59
2	32	57	44	47	99	88
71	5	108	38	18	30	60
61	106	93	110	56	98	9
26	48	37	89	10	70	77
77	77	119	48	116	25	85
58	90	103	37	19	45	97
69	42	33	107	94	41	70
50	15	118	83	4	70	38
60	33	76	64	84	77	103
69	95	13	29	104	57	62
2	91	108	99	52	109	47
48	48	31	56	85	71	94
87	50	24	118	46	45	53
45	80	66	26	45	42	106
35	105	55	58	56	84	84
91	20	6	2	118	117	14
8	9	50	87	34	69	38
89	59	72	51	84	53	70
96	116	73	60	39	78	68
111	72	65	46	11	52	87
84	60	63	95	17	29	24
2	19	19	74	98	61	41
101	54	76	61	9	77	89
112	85	28	38	14	14	59
10	64	37	81	31	14	108
57	47	19	28	108	79	55
91	102	29	48	3	87	17
117	61	94	17	120	46	98
34	46	47	118	93	8	82
33	29	38	29	6	24	106
97	91	35	64	34	11	66
19	44	84	55	79	69	93
36	99	53	27	94	60	9
26	120	73	80	73	114	35
112	34	21	60	98	85	46
78	89	16	44	20	77	54
13	5	85	8	40	101	9
50	100	85	115	105	52	71
117	66	86	45	95	97	113
57	69	6	105	6	52	60
70	65	9	78	98	63	74
109	119	34	94	31	22	87
111	55	33	34	2	109	45
9	46	30	66	15	94	67
37	113	6	23	4	44	32
8	63	40	8	111	119	111
8	16	80	32	21	9	68
80	2	15	20	19	80	75
